,price,bathrooms,bedrooms,city,homeType,livingArea,zipcode,priceReduction,daysOnZillow,latitude,longitude,30_year_mortgage
530,759900.0,3.0,4.0,Saratoga Springs,SINGLE_FAMILY,4412.0,84045,,19,40.30377,-111.89791,5012.328871908137
531,478900.0,3.0,3.0,Saratoga Springs,SINGLE_FAMILY,2278.0,84045,,19,,,3158.8423434094057
532,499990.0,3.0,3.0,Pleasant Grove,TOWNHOUSE,1865.0,84062,,19,40.36114,-111.74763,3297.95277360883
533,569000.0,1.0,4.0,Provo,SINGLE_FAMILY,2510.0,84601,,19,40.226627,-111.66275,3753.145319273234
534,570000.0,3.0,6.0,Cedar Hills,SINGLE_FAMILY,2684.0,84062,"$9,900 (Oct 20)",-1,40.4083,-111.76877,3759.741356741201
535,575000.0,3.0,5.0,Spanish Fork,SINGLE_FAMILY,2500.0,84660,,19,40.09074,-111.610504,3792.721544081036
536,435000.0,3.0,3.0,Spanish Fork,TOWNHOUSE,2041.0,84660,,19,40.121254,-111.72246,2869.276298565653
537,369900.0,3.0,3.0,Eagle Mountain,TOWNHOUSE,1550.0,84005,,19,40.35395,-111.99048,2439.874259401
538,750000.0,4.0,4.0,Draper,SINGLE_FAMILY,3225.0,84020,,19,40.477657,-111.826164,4947.028100975264
539,599900.0,3.0,4.0,Lehi,SINGLE_FAMILY,3587.0,84043,,19,40.38113,-111.90776,3956.9628770334148
540,425000.0,3.0,3.0,Spanish Fork,TOWNHOUSE,2032.0,84660,,-1,40.087616,-111.60216,2803.315923885983
541,490000.0,3.0,4.0,Eagle Mountain,SINGLE_FAMILY,2876.0,84005,,19,40.356598,-111.98137,3232.0583593038396
542,365000.0,2.0,3.0,Payson,SINGLE_FAMILY,1496.0,84651,,19,40.035164,-111.73742,2407.553675807962
543,449900.0,2.0,3.0,Orem,SINGLE_FAMILY,2322.0,84058,,19,40.29156,-111.68982,2967.557256838362
545,1159000.0,3.0,3.0,Mapleton,SINGLE_FAMILY,5129.0,84664,"$91,000 (Oct 26)",-1,40.125748,-111.5842,7644.807425373775
